x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-722.8761221546698,-709.4963376944721,-50,-6.626024987014288,-2.257386292033842,0
-726.8517371468783,-710.8507694696924,-50,-6.959230713647095,0.7543923874423354,0
-731.0272755750666,-710.398134037227,-50,-6.959230713647095,0.7543923874423354,0
-735.2028140032548,-709.9454986047616,-50,-6.959230713647095,0.7543923874423354,0
-739.3783524314431,-709.4928631722962,-50,-5.988384988111698,3.624809682474164,0
-742.9713834243101,-707.3179773628117,-50,-5.988384988111698,3.624809682474164,0
-746.5644144171772,-705.1430915533272,-50,-5.988384988111698,3.624809682474164,0
-750.1574454100443,-702.9682057438426,-50,-5.988384988111698,3.624809682474164,0
-753.7504764029113,-700.7933199343581,-50,-6.630988761264189,2.242763484629625,0
-757.7290696596698,-699.4476618435804,-50,-6.957549555455923,-0.7697429333063673,0
-761.9035993929433,-699.9095076035642,-50,-6.957549555455923,-0.7697429333063673,0
-766.0781291262168,-700.371353363548,-50,-6.959230713647095,0.7543923874423354,0
-770.2536675544051,-699.9187179310826,-50,-6.959230713647095,0.7543923874423354,0
-774.4292059825933,-699.4660824986172,-50,-6.959230713647095,0.7543923874423354,0
-778.6047444107816,-699.0134470661518,-50,-6.959230713647095,0.7543923874423354,0
-782.7802828389698,-698.5608116336864,-50,-6.959230713647095,0.7543923874423354,0
-786.9558212671581,-698.108176201221,-50,-6.959230713647095,0.7543923874423354,0
-791.1313596953463,-697.6555407687556,-50,-6.959230713647095,0.7543923874423354,0
-795.3068981235346,-697.2029053362902,-50,-6.959230713647095,0.7543923874423354,0
-799.4824365517228,-696.7502699038248,-50,-6.957549555455923,-0.7697429333063673,0
-803.6569662849963,-697.2121156638086,-50,-6.957549555455923,-0.7697429333063673,0
-807.8314960182698,-697.6739614237924,-50,-6.957549555455923,-0.7697429333063673,0
-812.0060257515433,-698.1358071837763,-50,-6.957549555455923,-0.7697429333063673,0
-816.1805554848169,-698.5976529437601,-50,-6.957549555455923,-0.7697429333063673,0
-820.3550852180904,-699.0594987037439,-50,-6.959230713647095,0.7543923874423354,0
-824.5306236462786,-698.6068632712785,-50,-6.959230713647095,0.7543923874423354,0
-828.7061620744669,-698.1542278388131,-50,-6.959230713647095,0.7543923874423354,0
-832.8817005026551,-697.7015924063477,-50,-6.959230713647095,0.7543923874423354,0
-837.0572389308434,-697.2489569738823,-50,-6.957549555455924,-0.769742933306358,0
-841.231768664117,-697.7108027338661,-50,-6.957549555455924,-0.769742933306358,0
-845.4062983973905,-698.1726484938499,-50,-6.626024987014298,-2.2573862920338126,0
-849.381913389599,-699.5270802690702,-50,-6.626024987014298,-2.2573862920338126,0
-853.3575283818077,-700.8815120442905,-50,-6.959230713647095,0.7543923874423354,0
-857.533066809996,-700.4288766118251,-50,-6.959230713647095,0.7543923874423354,0
-861.7086052381842,-699.9762411793597,-50,-6.959230713647095,0.7543923874423354,0
-865.8841436663724,-699.5236057468943,-50,-6.959230713647095,0.7543923874423354,0
-870.0596820945607,-699.0709703144289,-50,-6.959230713647095,0.7543923874423354,0
-874.2352205227489,-698.6183348819635,-50,-6.959230713647095,0.7543923874423354,0
-878.4107589509372,-698.1656994494981,-50,-6.959230713647095,0.7543923874423354,0
-882.5862973791254,-697.7130640170327,-50,-6.959230713647095,0.7543923874423354,0
-886.7618358073137,-697.2604285845673,-50,-5.988384988111672,3.6248096824742064,0
-890.3548668001806,-695.0855427750828,-50,-5.988384988111672,3.6248096824742064,0
-893.9478977930477,-692.9106569655983,-50,-5.988384988111672,3.6248096824742064,0
-897.5409287859147,-690.7357711561137,-50,-5.988384988111672,3.6248096824742064,0
-901.1339597787817,-688.5608853466292,-50,-5.988384988111672,3.6248096824742064,0
-904.7269907716486,-686.3859995371447,-50,-5.988384988111672,3.6248096824742064,0
-908.3200217645157,-684.2111137276602,-50,-5.988384988111672,3.6248096824742064,0
-911.9130527573827,-682.0362279181757,-50,-5.988384988111672,3.6248096824742064,0
-915.5060837502497,-679.8613421086911,-50,-5.988384988111672,3.6248096824742064,0
-919.0991147431166,-677.6864562992066,-50,-5.061883944716556,4.835010954508868,0
-922.1362451099467,-674.7854497265013,-50,-3.89540917935086,5.815994096062088,0
-924.4734906175572,-671.295853268864,-50,-2.5442609110805647,6.521252672328186,0
-926.0000471642055,-667.383101665467,-50,-1.0724943577677484,6.917351794766285,0
-926.6435437788662,-663.2326905886073,-50,-1.0724943577677484,6.917351794766285,0
-927.2870403935268,-659.0822795117475,-50,-1.0724943577677484,6.917351794766285,0
-927.9305370081875,-654.9318684348877,-50,-1.0724943577677484,6.917351794766285,0
-928.5740336228481,-650.781457358028,-50,-1.0724943577677484,6.917351794766285,0
-929.2175302375088,-646.6310462811682,-50,-1.0724943577677484,6.917351794766285,0
-929.8610268521694,-642.4806352043084,-50,-1.0724943577677484,6.917351794766285,0
-930.50452346683,-638.3302241274487,-50,-1.0724943577677484,6.917351794766285,0
-931.1480200814907,-634.1798130505889,-50,-1.0724943577677484,6.917351794766285,0
-931.7915166961513,-630.0294019737291,-50,-1.0724943577677484,6.917351794766285,0
-932.435013310812,-625.8789908968694,-50,-1.0724943577677484,6.917351794766285,0
-933.0785099254726,-621.7285798200096,-50,-1.0724943577677484,6.917351794766285,0
-933.7220065401333,-617.5781687431498,-50,-1.0724943577677484,6.917351794766285,0
-934.3655031547939,-613.4277576662901,-50,-3.8954091793507954,5.8159940960621315,0
-936.7027486624045,-609.9381612086528,-50,-3.8954091793507954,5.8159940960621315,0
-939.0399941700149,-606.4485647510155,-50,-3.8954091793507954,5.8159940960621315,0
-941.3772396776253,-602.9589682933782,-50,-2.5442609110805647,6.521252672328186,0
-942.9037962242737,-599.0462166899813,-50,-5.061883944716511,4.835010954508915,0
-945.9409265911036,-596.145210117276,-50,-5.061883944716511,4.835010954508915,0
-948.9780569579335,-593.2442035445706,-50,-5.061883944716511,4.835010954508915,0
-952.0151873247635,-590.3431969718653,-50,-5.061883944716511,4.835010954508915,0
-955.0523176915933,-587.4421903991599,-50,-5.061883944716511,4.835010954508915,0
-958.0894480584232,-584.5411838264546,-50,-5.061883944716511,4.835010954508915,0
-961.1265784252531,-581.6401772537492,-50,-5.061883944716511,4.835010954508915,0
-964.1637087920831,-578.7391706810439,-50,-5.061883944716511,4.835010954508915,0
-967.2008391589129,-575.8381641083386,-50,-5.988384988111672,3.6248096824742064,0
-970.7938701517799,-573.663278298854,-50,-5.061883944716556,4.835010954508868,0
-973.8310005186099,-570.7622717261487,-50,-5.061883944716556,4.835010954508868,0
-976.8681308854398,-567.8612651534434,-50,-5.061883944716556,4.835010954508868,0
-979.9052612522698,-564.960258580738,-50,-6.630988761264199,2.2427634846295956,0
-983.8838545090283,-563.6146004899603,-50,-6.630988761264199,2.2427634846295956,0
-987.8624477657868,-562.2689423991825,-50,-6.630988761264199,2.2427634846295956,0
-991.8410410225454,-560.9232843084047,-50,-6.630988761264199,2.2427634846295956,0
-995.819634279304,-559.577626217627,-50,-6.630988761264199,2.2427634846295956,0
-999.7982275360624,-558.2319681268492,-50,-6.630988761264199,2.2427634846295956,0
-1003.7768207928209,-556.8863100360714,-50,-6.630988761264199,2.2427634846295956,0
-1007.7554140495795,-555.5406519452937,-50,-6.630988761264199,2.2427634846295956,0
-1011.7340073063381,-554.1949938545159,-50,-6.630988761264199,2.2427634846295956,0
-1015.7126005630965,-552.8493357637382,-50,-6.630988761264199,2.2427634846295956,0
-1019.691193819855,-551.5036776729604,-50,-6.630988761264199,2.2427634846295956,0
-1023.6697870766136,-550.1580195821826,-50,-6.630988761264199,2.2427634846295956,0
-1027.6483803333722,-548.8123614914049,-50,-6.959230713647095,0.7543923874423354,0
-1031.8239187615604,-548.3597260589395,-50,-5.988384988111672,3.6248096824742064,0
-1035.4169497544274,-546.184840249455,-50,-3.89540917935086,5.815994096062088,0
-1037.754195262038,-542.6952437918177,-50,-3.89540917935086,5.815994096062088,0
-1040.0914407696484,-539.2056473341804,-50,-3.89540917935086,5.815994096062088,0
-1042.428686277259,-535.7160508765431,-50,-3.89540917935086,5.815994096062088,0
-1044.7659317848695,-532.2264544189059,-50,-3.89540917935086,5.815994096062088,0
-1047.10317729248,-528.7368579612686,-50,-3.89540917935086,5.815994096062088,0
-1049.4404228000906,-525.2472615036313,-50,-3.89540917935086,5.815994096062088,0
-1051.777668307701,-521.757665045994,-50,-3.89540917935086,5.815994096062088,0
-1054.1149138153116,-518.2680685883568,-50,-3.89540917935086,5.815994096062088,0
283.54784067707783,825.2215278692805,-50,0,0,0
